reviews_text,reviews_title
I have enjoyed using a variety of the Olay products for more than 30 years and consider them to be part of my life routine-wherever I am. As an international traveler they always make me feel like I am being cared for regardless of where I am. This review was collected as part of a promotion.,This is exactly what I've needed.
Just didn't have the moisture I am used too. Thought I would try this but will go back to Nutragena,Not for me
Love it. I can feel the result in few days. I will recommend it to my friends. This review was collected as part of a promotion.,Great product!
the product has a great ability to smooth older skin and help with the overall feeling of hydration attached to the product This review was collected as part of a promotion.,This is exactly what I've needed.
Great hydration for the skin with a smooth non greasy finish. Fine for under foundation makeup. This review was collected as part of a promotion.,moisturizing
I used this for two weeks and it worked great. My skin looks better then it has in years. This review was collected as part of a promotion.,moisturizing
"I have used these products for years. My skin looks great. Although I find that sometimes I get a white residue on my face. I do get compliments on like, you look 40, I can't believe you are 50! I believe in Olay products and its results. This review was collected as part of a promotion.",Great product!
I have tried everything from all natural to high end designer cosmetics. This is a rock solid product that does it claims!!! It's been part of my regiment for over ten years. I regularly try other products but it's always a waste of time and money!,This is exactly what I've needed.
"Used to swear by this product as my daily moisturizer. I loved it because it felt thick and creamy and did a great job without being greasy or feeling heavy. However, just bought the first container of the new formula. It's terrible! It leaves a greasy feel that does not go away and makes it impossible to apply makeup, even 10 minutes after. Your skin just feels slimy to the touch, slippery. And the scent is way stronger. Please, OLAY, give us our old formula back!! I'll be purchasing something else.",Not for me
In only a week I can see the difference in my skin on my face. This review was collected as part of a promotion.,moisturizing
"I hate to be picky, but who was responsible for the design of this product Push down on top of the package to dispense product from center of package... Even the directions are awkward! The cream is yummy, the design I really hate!",Not for me
Very silly feeling but not oily. Has a soft clean smell to it.,Not for me
I just trust it to keep my skin renewed. I see the results daily. I don't have to be looking and experimenting with other brands others than Olay. This review was collected as part of a promotion.,This is exactly what I've needed.
this product makes my face feel like I have de-aged by twenty years! This review was collected as part of a promotion.,Not for me
Product has been around for awhile and still delivers good results. This review was collected as part of a promotion.,This is exactly what I've needed.
After using a short time it totally changed the texture of my skin. This review was collected as part of a promotion.,Hyderating
Love the effects of using Olay Deep Hydration Regenerating Cream This review was collected as part of a promotion.,Great product!
I like the feel and texture of my skin after using this product. This review was collected as part of a promotion.,Not for me
"No wrinkles for me, no worrying either because I have my OLAY !! This review was collected as part of a promotion.",love it!
This product gives my face a starry appearance and a silky feel. This review was collected as part of a promotion.,This is exactly what I've needed.
"Love the way this goes on smoothly, not too thick, just right! This review was collected as part of a promotion.",Awesome smoothness
This is a great product. It smooth going on and not messy. This review was collected as part of a promotion.,Hyderating
I can tell a difference when I haven't applied the cream. This review was collected as part of a promotion.,Hyderating
I love how my face and skin feel. I have tried other products but I always go right back to my olay. This review was collected as part of a promotion.,love it!
I am a licensed aesthetician and have used medical grade products. My mother got me using this and it is an outstanding product This review was collected as part of a promotion.,Amazing results
"Thought that this product was not greasy, went on smooth and made my skin feel soft. Also had a nice smell not to overpowering This review was collected as part of a promotion.",Hyderating
"I love the entire line of Regenerist, they are the best products for my skin! My skin has a glow and looks fresh and natural. This review was collected as part of a promotion.",Hyderating
Love this moisturizer! I use it every day and can definitely feel a difference in my skin. Softens without any greasy feel. This review was collected as part of a promotion.,Amazing results
I just love this product! Makes my face feel so soft and helps the wrinkles around my eyes and forehead appear less wrinkled This review was collected as part of a promotion.,Great product!
I have been using the red cream for years- and love it! It is just as efficient as a similar pricey 'brand name cream. This review was collected as part of a promotion.,Great product!
I love the way Olay's Regenerist Deep Hydration Regenerating Cream makes my skin feel. In fact my whole family uses it. This review was collected as part of a promotion.,Great product!
"works well, did not feel greasy. left skin feeling good. would recommend. could be better priced for the general public. This review was collected as part of a promotion.",Awesome smoothness
For deep penetrating long lasting hydration you can't go wrong with Olay Regenerating Deep Hydration Regenerating Cream! This review was collected as part of a promotion.,Great product!
"good overall cream to use for just about all the issues you can have, no horrible after smell, smooth absorbs quickly This review was collected as part of a promotion.",Not for me
Really liked this cream very much. It really restored moisture to my skin which gave a much brighter look. Thank you. This review was collected as part of a promotion.,moisturizing
"Love it, love it, I am 61 years young, with No wrinkles..... LOVE IT, LOVE IT, WHERE HAVE YOU BEEN ALL MY LIFE.... This review was collected as part of a promotion.",Awesome smoothness
I love this product. I only use Olay for my face and people tell me that I do not look anywhere near my actual age. This review was collected as part of a promotion.,love it!
I use this product on a daily basis. It has helped my skin feel smoother and healthier. I definitely recommend it! This review was collected as part of a promotion.,Great product!
"This product goes on smoothly, feels great and your skin just shines and looks younger in just a few days. I recommend that everyone use it. This review was collected as part of a promotion.",Awesome smoothness
My skin needs extra hydration because I work inside an aircraft where there is 0 humidity. My skin soaks up the moisture from this product This review was collected as part of a promotion.,love it!
